Question,Answer
ماذا افعل عداد المياه معطل,يمكنك مراجعة أقرب مكتب لخدمة العملاء وتقديم معاملة فحص عداد
يوجد عطل في عداد المي ماذا افعل,يمكنك مراجعة أقرب مكتب لخدمة العملاء وتقديم معاملة فحص عداد
اذا كنت أشك بدقة عداد منزلي ما الذي يتوجب علي فعله ,يمكنك مراجعة أقرب مكتب لخدمة العملاء وتقديم معاملة فحص عداد
تركيب هواية ,يمكنك مراجعة أقرب مكتب لخدمة العملاء وتقديم معاملة تركيب هواية بشرط تأمين الهواية من قبلكم 
كيف يمكنني تركيب هوايه قبل العداد ,يمكنك مراجعة أقرب مكتب لخدمة العملاء وتقديم معاملة تركيب هواية بشرط تأمين الهواية من قبلكم 
أرغب بتركيب هواية قبل العداد، ماذا يتوجب علي فعله,يمكنك مراجعة أقرب مكتب لخدمة العملاء وتقديم معاملة تركيب هواية بشرط تأمين الهواية من قبلكم 
هل يمكن تغير موقع العداد,نعم يمكنك ذلك من خلال مراجعه أقرب مكتب خدمة لديك وتقديم طلب لنقل العداد ويشترط حضور صاحب العلاقة شخصياً أو من يحمل تفويض مصدق من البنك 
هل يمكنني نقل العداد من مكانه ,نعم يمكنك ذلك من خلال مراجعه أقرب مكتب خدمة لديك وتقديم طلب لنقل العداد ويشترط حضور صاحب العلاقة شخصياً أو من يحمل تفويض مصدق من البنك 
هل يحق لي نقل عداد من قطعة الى اخرى ,"لا, لا يجوز نقل العداد من قطعة الى اخرى "
هل تسعيرة المياه على العدادات الرقمية الجديدة تختلف عن العدادات القديمة,لا، التسعيرة موحدة.
هل مختبرات الشركة معتمدة وما نوع الإعتماد الحاصلة عليه,نعم، مختبرات الشركة حاصلة على الإعتمادين الوطني والدولي لعدد كبير من الفحوصات المنفذة لديها .
كيف تتأكد الشركة من نوعية المياه المضخوخة للمواطنين,تتأكد الشركة من نوعية المياه المضخوخة للمواطنين من خلال تنفيذ مجموعة من البرامج الرقابية على مصادر المياه والشبكات بحيث يتم جمع وتحليل عينات من هذه المواقع وإجراء الفحوصات في مختبرات الشركة.
كيف يمكن الإبلاغ عن حالات عدم التأكد من نوعية الياه المضخوخة للمواطنين,عن طريق تقديم شكوى بخصوص نوعية المياه.
هل يتم مراقبة نوعية المياه بشكل مستمر,يتم اخضاع المياه المضخوخة للمواطنين لبرامج رقابية مكثفة تشمل اجراء فحوصات فيزيائية وكيميائية . ومايكروبيولوجية ومن أكثر من جهة رقابية.
هل تقدم مختبرات الشركة خدمة فحص نوعية المياه وما اسعار هذه الخدمة,"نعم، تقدم مختبرات الشركة خدمة فحص نوعية المياه للزبائن وبأسعار محددة حسب المحدد المطلوب فحصه، حسب الرابط التالي ""أسعار الخدمات المخبرية"""
كيف يمكن إجراء الفحوصات لدى مختبرات الشركة والحصول على النتائج؟,عن طريق تقديم طلب بالفحوصات المطلوبة لشركة مياهنا  وبعد الموافقة على تنفيذ الفحوصات المطلوبة يتم الحصول على نتائج الفحوصات بعد تسديد المطالبات المالية المتعلقة بذلك .
كيف يمكن معرفة اوقات الضخ في منطقتي؟,يوجد خدمة على الموقع الالكتروني، الرجاء تتبع الرابط .
ارغب بترك العقار وإلغاء اشتراك المياه هل يتوجب علي الحضور شخصياً ؟,الحضور شخصياً او شخص يحمل تفويض مصدق من البنك .
ما الاوراق المطلوبة لمعاملة تحويل اشتراك ؟,"يتوجب أولاً حضورك شخصياً أو مفوض بنكي, واحضار عقد إيجار  أو سند تسجيل للعقار  بالاضافة الى فاتورة للاشتراك المراد تحويله على ان تكون الذمم مسدده ."
أرغب بالسفر وإيقاف العداد مؤقتاً، ماذا افعل وماهي المدة المسموحة لدي ؟,"يمكنك تقديم معاملة تعليق اشتراك, وايقاف استخدام العداد لمدة لا تتجاوز 3 سنوات ."
أود استرداد الرصيد الموجود في حسابي ؟,يمكنكم تقديم معاملة استرداد رصيد دائن في اقرب مكتب خدمة لديكم.
"الفاتورة مرتفعه جداً , ماذا أفعل ؟",يمكنك مراجعة أقرب مكتب خدمة لديكم وتقديم اعتراض على الفاتورة.
كيف يمكنني معرفة موعد القراءة لدي ؟,يمكنك الاتصال على الرقم 065679141 فرعي 2 والاستفسار عن مواعيد القراءة .
لدي مشكلة وارغب بالتحدث مع موظف من الشركة ؟,يمكنك الاتصال على الرقم 065679141 فرعي 2 والتحدث مع ممثل مركز الاتصال .او الاتصال على مركز الشكاوي الموحد 117116.
ماهي خيارات الدفع المتوفرة لديكم ؟,1. التسديد من خلال مكاتب التحصيل المتوفرة . 2. التسديد عبر مكاتب البريد المنتشرة . 3. التسديد من خلال خدمة efawateercom. 4. التسديد للجباة. 5. التسديد في البنوك.
